crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio
CRC140055,Take Groundwater,A,M35/18677,6.0,True,39.0,5.0,0.0,0.6
CRC140055,Take Groundwater,A,M35/9003,4.0,True,98.0,96.0,92.0,0.4
CRC141422,Take Groundwater,A,BW22/0022,20.0,True,0.0,0.0,0.0,1.0
CRC141448,Take Groundwater,A,M35/8962,68.0,True,0.0,0.0,0.0,0.5
CRC141448,Take Groundwater,A,M35/9286,68.0,True,0.0,0.0,0.0,0.5
CRC142181,Take Groundwater,A,M35/6853,9.0,True,67.0,35.0,5.0,1.0
CRC142866,Take Groundwater,A,M35/7541,5.0,True,67.0,33.0,5.0,1.0
CRC142947,Take Groundwater,A,M35/9925,100.0,True,0.0,0.0,0.0,1.0
CRC143253,Take Groundwater,A,M35/6303,30.0,True,89.0,75.0,51.0,1.0
CRC144265,Take Groundwater,A,BX23/0295,5.0,True,24.0,1.0,0.0,1.0
CRC144704,Take Groundwater,A,M35/6527,21.0,True,100.0,99.0,99.0,1.0
CRC144773,Take Groundwater,A,BW22/0070,7.0,True,0.0,0.0,0.0,1.0
CRC145654,Take Groundwater,A,M35/1763,14.0,True,63.0,28.0,2.0,1.0
CRC145672,Take Groundwater,A,M35/0050,26.5,False,20.0,0.0,0.0,1.0
CRC146632,Take Groundwater,A,BX23/0270,35.0,True,0.0,0.0,0.0,0.5
CRC146632,Take Groundwater,A,M35/9431,35.0,True,0.0,0.0,0.0,0.5
CRC147101,Take Groundwater,A,M35/0048,128.0,True,80.0,57.0,24.0,0.25
CRC147101,Take Groundwater,A,M35/0049,128.0,True,75.0,47.0,14.0,0.25
CRC147101,Take Groundwater,A,M35/0060,128.0,True,67.0,33.0,5.0,0.25
CRC147101,Take Groundwater,A,M35/7217,128.0,True,88.0,73.0,48.0,0.25
CRC147496,Take Groundwater,A,M35/9261,50.0,True,76.0,50.0,16.0,1.0
CRC147547,Take Groundwater,A,L35/0304,20.0,True,93.0,85.0,69.0,1.0
CRC150518,Take Groundwater,A,M35/8905,11.0,True,59.0,23.0,1.0,1.0
CRC150643,Take Groundwater,A,L35/0765,107.0,True,0.0,0.0,0.0,0.5
CRC150643,Take Groundwater,A,L35/0766,107.0,True,0.0,0.0,0.0,0.5
CRC151242,Take Groundwater,A,M35/8328,32.0,True,0.0,0.0,0.0,1.0
CRC152387,Take Groundwater,A,BW23/0213,12.0,True,79.0,54.0,21.0,0.22641509433962265
CRC152387,Take Groundwater,A,L35/0339,41.0,True,89.0,76.0,52.0,0.7735849056603774
CRC152927,Take Surface Water,A,M35/11224,1609.0,True,100.0,100.0,100.0,1.0
CRC153992,Take Groundwater,A,L35/0705,25.0,True,0.0,0.0,0.0,1.0
CRC154056,Take Groundwater,A,L35/0699,20.0,True,0.0,0.0,0.0,1.0
CRC155932,Take Surface Water,AA,L35/0933,10.0,True,100.0,100.0,100.0,0.5
CRC155932,Take Surface Water,AA,L35/0993,10.0,True,100.0,100.0,100.0,0.5
CRC155937,Take Surface Water,A,L35/1146,700.0,True,100.0,100.0,100.0,0.9210526315789473
CRC155937,Take Surface Water,A,L35/1150,60.0,True,100.0,100.0,100.0,0.07894736842105263
CRC155937,Take Surface Water,AA,L35/1021,1090.0,True,100.0,100.0,100.0,0.45228215767634855
CRC155937,Take Surface Water,AA,L35/1022,630.0,True,100.0,100.0,100.0,0.26141078838174275
CRC155937,Take Surface Water,AA,L35/1146,630.0,True,100.0,100.0,100.0,0.26141078838174275
CRC155937,Take Surface Water,AA,L35/1150,60.0,True,100.0,100.0,100.0,0.024896265560165973
CRC155937,Take Surface Water,B,L35/1021,1090.0,True,100.0,100.0,100.0,0.43253968253968256
CRC155937,Take Surface Water,B,L35/1022,630.0,True,100.0,100.0,100.0,0.25
CRC155937,Take Surface Water,B,L35/1146,800.0,True,100.0,100.0,100.0,0.31746031746031744
CRC156238,Take Surface Water,A,M35/11177,170.0,True,100.0,100.0,100.0,1.0
CRC156734,Take Surface Water,A,L35/1063,40.0,True,100.0,100.0,100.0,1.0
CRC156736,Take Surface Water,B,L35/0975,440.0,True,100.0,100.0,100.0,1.0
CRC156854,Take Groundwater,A,M35/9446,6.5,True,79.0,55.0,21.0,1.0
CRC156878,Take Groundwater,A,L35/0869,26.0,True,0.0,0.0,0.0,1.0
CRC157134,Take Groundwater,A,M35/2773,30.0,True,72.0,42.0,9.0,1.0
CRC157457,Take Groundwater,A,BW23/0205,112.7,True,0.0,0.0,0.0,0.9185004074979625
CRC157457,Take Groundwater,A,BW23/0257,10.0,True,0.0,0.0,0.0,0.08149959250203749
CRC158041,Take Groundwater,A,BW22/0051,40.0,True,0.0,0.0,0.0,0.6956521739130435
CRC158041,Take Groundwater,A,L35/0533,4.5,True,0.0,0.0,0.0,0.0782608695652174
CRC158041,Take Groundwater,A,L35/0771,13.0,True,83.0,63.0,32.0,0.22608695652173913
CRC158052,Take Groundwater,A,L35/0825,42.0,True,76.0,49.0,15.0,1.0
CRC158107,Take Groundwater,A,BW22/0008,12.0,True,0.0,0.0,0.0,0.3333333333333333
CRC158107,Take Groundwater,A,BW22/0009,12.0,True,0.0,0.0,0.0,0.3333333333333333
CRC158107,Take Groundwater,A,L35/0888,12.0,True,0.0,0.0,0.0,0.3333333333333333
CRC160826,Take Surface Water,A,M35/11044,280.0,True,100.0,100.0,100.0,1.0
